match_id,date,stage,status,home_team,away_team,home_goals,away_goals,outcome
537407,2026-06-27T23:30:00Z,GROUP_STAGE,TIMED,Colombia,Portugal,,,
537408,2026-06-27T23:30:00Z,GROUP_STAGE,TIMED,Congo DR,Uzbekistan,,,
537401,2026-06-28T02:00:00Z,GROUP_STAGE,TIMED,Jordan,Argentina,,,
537402,2026-06-28T02:00:00Z,GROUP_STAGE,TIMED,Algeria,Austria,,,
537417,2026-06-28T19:00:00Z,LAST_32,TIMED,,,,,
537423,2026-06-29T17:00:00Z,LAST_32,TIMED,,,,,
537415,2026-06-29T20:30:00Z,LAST_32,TIMED,,,,,
537418,2026-06-30T01:00:00Z,LAST_32,TIMED,,,,,
537424,2026-06-30T17:00:00Z,LAST_32,TIMED,,,,,
537416,2026-06-30T21:00:00Z,LAST_32,TIMED,,,,,
537425,2026-07-01T01:00:00Z,LAST_32,TIMED,,,,,
537426,2026-07-01T16:00:00Z,LAST_32,TIMED,,,,,
537422,2026-07-01T20:00:00Z,LAST_32,TIMED,,,,,
537421,2026-07-02T00:00:00Z,LAST_32,TIMED,,,,,
537420,2026-07-02T19:00:00Z,LAST_32,TIMED,,,,,
537419,2026-07-02T23:00:00Z,LAST_32,TIMED,,,,,
537429,2026-07-03T03:00:00Z,LAST_32,TIMED,,,,,
537428,2026-07-03T18:00:00Z,LAST_32,TIMED,,,,,
537427,2026-07-03T22:00:00Z,LAST_32,TIMED,,,,,
537430,2026-07-04T01:30:00Z,LAST_32,TIMED,,,,,
537376,2026-07-04T17:00:00Z,LAST_16,TIMED,,,,,
537375,2026-07-04T21:00:00Z,LAST_16,TIMED,,,,,
537377,2026-07-05T20:00:00Z,LAST_16,TIMED,,,,,
537378,2026-07-06T00:00:00Z,LAST_16,TIMED,,,,,
537379,2026-07-06T19:00:00Z,LAST_16,TIMED,,,,,
537380,2026-07-07T00:00:00Z,LAST_16,TIMED,,,,,
537381,2026-07-07T16:00:00Z,LAST_16,TIMED,,,,,
537382,2026-07-07T20:00:00Z,LAST_16,TIMED,,,,,
537383,2026-07-09T20:00:00Z,QUARTER_FINALS,TIMED,,,,,
537384,2026-07-10T19:00:00Z,QUARTER_FINALS,TIMED,,,,,
537385,2026-07-11T21:00:00Z,QUARTER_FINALS,TIMED,,,,,
537386,2026-07-12T01:00:00Z,QUARTER_FINALS,TIMED,,,,,
537387,2026-07-14T19:00:00Z,SEMI_FINALS,TIMED,,,,,
537388,2026-07-15T19:00:00Z,SEMI_FINALS,TIMED,,,,,
537389,2026-07-18T21:00:00Z,THIRD_PLACE,TIMED,,,,,
537390,2026-07-19T19:00:00Z,FINAL,TIMED,,,,,
